n_components,test_acc
1,0.9020979020979021
2,0.9230769230769231
3,0.9370629370629371
4,0.9370629370629371
5,0.965034965034965
6,0.958041958041958
7,0.951048951048951
8,0.965034965034965
9,0.965034965034965
10,0.965034965034965
11,0.958041958041958
12,0.958041958041958
13,0.965034965034965
14,0.958041958041958
15,0.958041958041958
16,0.958041958041958
17,0.958041958041958
18,0.958041958041958
19,0.958041958041958
20,0.958041958041958
21,0.958041958041958
22,0.958041958041958
23,0.958041958041958
24,0.958041958041958
25,0.958041958041958
26,0.958041958041958
27,0.958041958041958
28,0.958041958041958
29,0.958041958041958
30,0.958041958041958
